City,Address,Coordinates
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.32245472112406, 36.905855817678486)"
Амвросиевский муниципальный округ,"ул. Клубная, 3","(48.73623745047337, 37.86761847760851)"
Амвросиевский муниципальный округ,"ул. Ленина, 12","(49.315662187674015, 38.43183610964636)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(49.37711008455847, 38.98387324955778)"
Амвросиевский муниципальный округ,"ул. Молодежная, 38а","(47.437373486662246, 36.56621920957636)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.984158305446215, 36.295843571507056)"
Амвросиевский муниципальный округ,"ул. Ленина, 11","(46.68600470585184, 37.38580585176719)"
Амвросиевский муниципальный округ,"ул. Садовая, 16","(46.91093122915916, 37.480188484965595)"
Амвросиевский муниципальный округ,с. Василевка,"(47.019291054407255, 37.831553628109965)"
Амвросиевский муниципальный округ,"ул. Ленина, б/н","(47.894014193658286, 36.18665288956212)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.92387263903259, 37.21516787884196)"
Амвросиевский муниципальный округ,"ул. Молодежная, 32","(46.75977455852201, 38.96550792614346)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.818469389435464, 38.95069987255943)"
Амвросиевский муниципальный округ,"ул. Ульяновская, 31.","(47.51309635430658, 37.467835978761386)"
Амвросиевский муниципальный округ,с. Ленинское,"(48.671839290556576, 36.83053507980092)"
Амвросиевский муниципальный округ,"ул. Клубная, б/н","(48.35031446939857, 38.05550249897897)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.30986200540045, 38.83704338289833)"
Амвросиевский муниципальный округ,"ул. 40 лет Октября, 24","(47.496638653675205, 38.59761355637976)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.17674698282424, 38.90222942828533)"
Амвросиевский муниципальный округ,"ул. Ленина, 22","(46.89489837177097, 37.03543335861228)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.220771449348916, 37.47308986204099)"
Амвросиевский муниципальный округ,"ул. Петровского, 53","(46.498566059453374, 36.74486473800025)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(49.257212965322175, 38.54824163462849)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 4","(47.150977382385726, 37.62288983493683)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.78236450497334, 37.43035953635881)"
Амвросиевский муниципальный округ,"ул. Ленина, 18","(46.255498759114, 37.21145676866529)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.781861743840714, 38.18475254152621)"
Амвросиевский муниципальный округ,"ул. Лизы Чайкиной, б/н","(49.535445797557884, 39.37414569526825)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.47869555043496, 39.301735210052804)"
Амвросиевский муниципальный округ,"ул. Осипенко, 24","(47.63786550905568, 37.420926555751265)"
Амвросиевский муниципальный округ,с. Великое Мешково,"(47.01583836708753, 38.865270516156826)"
Амвросиевский муниципальный округ,"ул. Мичурина, 47","(48.91845418499223, 37.536070272676696)"
Амвросиевский муниципальный округ,пгт. Новоамвросиевское,"(46.7148195438772, 38.42683844304923)"
Амвросиевский муниципальный округ,"ул. Мира, 1","(46.829848359296754, 37.35228599955638)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.31819540668227, 39.42505575128102)"
Амвросиевский муниципальный округ,"ул. Мичурина, 34а","(48.67937777797263, 39.21937585796772)"
Амвросиевский муниципальный округ,пгт. Новоамвросиевское,"(49.21818827770943, 39.26226439841408)"
Амвросиевский муниципальный округ,"ул. Ленина, 4","(48.090328647366796, 36.68091693889203)"
Амвросиевский муниципальный округ,пгт. Новоамвросиевское,"(48.176451548723385, 36.63365474519525)"
Амвросиевский муниципальный округ,"ул. Ленина, 1","(46.50208667892584, 36.66361285548094)"
Амвросиевский муниципальный округ,с. Благодатное,"(47.96502749330836, 39.587275683014134)"
Амвросиевский муниципальный округ,"ул. Лиманская, 7а","(48.70517478677145, 36.8955592725353)"
Амвросиевский муниципальный округ,пгт. Новоамвросиевское,"(46.61206792432316, 36.73867717661129)"
Амвросиевский муниципальный округ,"ул. Ленина, 8","(48.485966130741, 36.86238138006739)"
Амвросиевский муниципальный округ,"ул. Мира, 3","(47.98682955229712, 36.431850441722425)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.24141620555688, 36.604790243028724)"
Амвросиевский муниципальный округ,"ул. Молодежная, 57","(47.120495135271355, 36.54873935997609)"
Амвросиевский муниципальный округ,пгт. Новоамвросиевское,"(46.63121997883959, 36.04083192336303)"
Амвросиевский муниципальный округ,"ул. Мира, 1/1","(46.418231121983425, 36.874713791294326)"
Амвросиевский муниципальный округ,пгт. Новоамвросиевское,"(49.068245083048375, 36.453181607805696)"
Амвросиевский муниципальный округ,"ул. Ленина, 1","(47.577842925380935, 36.61108240528256)"
Амвросиевский муниципальный округ,с. Благодатное,"(47.14193860361322, 37.768616902318676)"
Амвросиевский муниципальный округ,"ул. Белостоцкого, б/н","(48.117603041807165, 37.14477715996648)"
Амвросиевский муниципальный округ,с. Благодатное,"(47.44155234602172, 38.61821327786146)"
Амвросиевский муниципальный округ,"ул. Мира, 30","(47.26215466635998, 38.71787806064805)"
Амвросиевский муниципальный округ,с. Благодатное,"(49.71536230136325, 37.542295515211286)"
Амвросиевский муниципальный округ,"ул. Куйбышева, 14","(47.901395940672444, 38.22721612604242)"
Амвросиевский муниципальный округ,с. Благодатное,"(49.658656809726125, 36.65202486414904)"
Амвросиевский муниципальный округ,"ул. Лиманская, 19","(49.588979232502965, 36.30762627125712)"
Амвросиевский муниципальный округ,с. Благодатное,"(48.936083082868265, 38.52999768339407)"
Амвросиевский муниципальный округ,"ул. Лиманская, 14","(46.425342787021386, 37.309416613775866)"
Амвросиевский муниципальный округ,с. Новоклиновка,"(49.245064359007, 38.16355591898495)"
Амвросиевский муниципальный округ,с. Благодатное,"(48.32860515771966, 37.49118702656063)"
Амвросиевский муниципальный округ,"ул. Братьев Ковалёвых, 31","(47.590796111335806, 38.08964762531614)"
Амвросиевский муниципальный округ,с. Благодатное,"(47.352276009457405, 39.34093385477848)"
Амвросиевский муниципальный округ,"ул. Мира, б/н","(49.605049177865496, 38.784281399920125)"
Амвросиевский муниципальный округ,"ул. Ленина, 19","(48.84849820688987, 37.93414875818612)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.79304266695344, 36.69613081432991)"
Амвросиевский муниципальный округ,"ул. Ульяновская, б/н","(47.86471986361387, 37.20641606532906)"
Амвросиевский муниципальный округ,с. Лисичье,"(48.39334183261778, 36.011728925380545)"
Амвросиевский муниципальный округ,"ул. Московская, 31","(46.49206091225358, 37.08779871444372)"
Амвросиевский муниципальный округ,с. Лисичье,"(47.76383449499669, 38.76428329026332)"
Амвросиевский муниципальный округ,"ул. Московская, 57/3","(47.50786376661201, 39.39001844186278)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.971697096278334, 37.52062182934468)"
Амвросиевский муниципальный округ,"ул. Свободы, 4а","(47.96719845121401, 37.871983477210435)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.75841091034069, 37.11084116915797)"
Амвросиевский муниципальный округ,"ул. 8-й съезд Советов, 40","(49.05235730384027, 37.24514684221037)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.8998171741812, 36.39984089783991)"
Амвросиевский муниципальный округ,"ул. Мичурина, 1 а","(48.185853363418346, 39.20086460105917)"
Амвросиевский муниципальный округ,с. Успенка,"(49.69424927782215, 37.68935677071496)"
Амвросиевский муниципальный округ,"ул. Октябрьская, б/н","(47.94529625042296, 38.81828643800533)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.90006689309165, 38.20009812148585)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 2","(48.482937017319955, 37.45878246558129)"
Амвросиевский муниципальный округ,с. Успенка,"(48.79984769635597, 36.2419426901828)"
Амвросиевский муниципальный округ,"ул. Октябрьская, б/н","(47.8116294567252, 37.56329641478523)"
Амвросиевский муниципальный округ,с. Успенка,"(49.03224429382004, 36.578669257543325)"
Амвросиевский муниципальный округ,"ул. Гагарина, 25","(49.471752489403855, 39.058740632793096)"
Амвросиевский муниципальный округ,с. Успенка,"(48.788785866312566, 36.73463952512005)"
Амвросиевский муниципальный округ,"ул. Первомайская, 53а","(46.964804580452785, 38.95372262659207)"
Амвросиевский муниципальный округ,с. Успенка,"(47.554488015756725, 37.847209381288)"
Амвросиевский муниципальный округ,"ул. Октябрьская, 71б","(48.263131653075696, 38.05051321142598)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.21283670578845, 37.33764999544451)"
Амвросиевский муниципальный округ,"ул. Павших Коммунаров, 2а","(48.142548307076176, 36.100078916609476)"
Амвросиевский муниципальный округ,с. Благодатное,"(47.10529974033309, 36.5572268799313)"
Амвросиевский муниципальный округ,"ул. Мира, 58а","(47.18283355897477, 39.313006271739226)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(49.330512782334424, 38.96413649044955)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 4","(48.72366073182965, 36.233202617825086)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(49.32599346394948, 38.959513867481725)"
Амвросиевский муниципальный округ,"ул. Парижской Коммуны, 84","(48.74767437886687, 36.43601202086631)"
Амвросиевский муниципальный округ,пгт. Кутейниково,"(47.61559626085084, 36.45584257915845)"
Амвросиевский муниципальный округ,"ул. Ленина, 20","(48.24716693178777, 39.02381696344021)"
Амвросиевский муниципальный округ,пгт. Кутейниково,"(47.408889888714945, 37.13618662979977)"
Амвросиевский муниципальный округ,"ул. Чапаева, 19,","(48.13881431156677, 38.772929108199286)"
Амвросиевский муниципальный округ,с. Кленовка,"(48.86835745232291, 36.943727992939216)"
Амвросиевский муниципальный округ,"ул. Ленина, б/н","(47.90337460140654, 38.372335281834886)"
Амвросиевский муниципальный округ,пгт. Кутейниково,"(46.96520714081657, 37.6597393752725)"
Амвросиевский муниципальный округ,"ул. Школьная, б/н","(46.63172824742564, 36.73540595622711)"
Амвросиевский муниципальный округ,с. Благодатное,"(49.69306357130228, 37.796270030423976)"
Амвросиевский муниципальный округ,"ул. Мира, 10","(49.11035347156122, 37.265515810173135)"
Амвросиевский муниципальный округ,п. Металлист,"(48.3305999567336, 39.169672293292074)"
Амвросиевский муниципальный округ,"ул. Ленина, 1,","(47.499528775874424, 39.078289287271595)"
Амвросиевский муниципальный округ,п. Бондаревское,"(47.87431888898301, 37.579364574331294)"
Амвросиевский муниципальный округ,"ул. Артема, 1","(48.81256720264525, 38.89426665196551)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.7345291401326, 37.09540765194622)"
Амвросиевский муниципальный округ,"ул. Мичурина, 7ж","(46.35022524768945, 36.98184378680326)"
Амвросиевский муниципальный округ,с. Благодатное,"(47.039342984974624, 38.85450646448799)"
Амвросиевский муниципальный округ,"ул. Мира, б/н","(48.21742555045592, 37.92949402126769)"
Амвросиевский муниципальный округ,п. Лисичье,"(49.41755127806871, 38.88194401790712)"
Амвросиевский муниципальный округ,"ул. Московская, 55/1","(46.7819536418492, 37.53349186338167)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.970753717010275, 36.259039124912455)"
Амвросиевский муниципальный округ,"ул. Ленина, 22","(46.4735520986285, 36.904177490097325)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(49.06987933966739, 37.27540885916118)"
Амвросиевский муниципальный округ,"ул. Павших Коммунаров, 2","(49.54597577544503, 39.29692029699198)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.58042211299222, 39.52272159749752)"
Амвросиевский муниципальный округ,"ул. Павших Коммунаров, 2","(47.13321935934887, 37.00436432110506)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.25593165742019, 37.84085023686329)"
Амвросиевский муниципальный округ,"ул. Олега Кошевого, 27","(49.68265936622459, 37.29736280116618)"
Амвросиевский муниципальный округ,пгт. Войковский,"(46.941764386624996, 37.12853538606164)"
Амвросиевский муниципальный округ,"ул. Артёма, 59","(48.800584251729056, 36.7617749950001)"
Амвросиевский муниципальный округ,пгт. Кутейниково,"(48.13457462336776, 39.04294212805087)"
Амвросиевский муниципальный округ,"ул. Школьная, 12,","(48.10717670697902, 37.981738166030205)"
Амвросиевский муниципальный округ,п. Металлист,"(47.6743051405872, 38.59345177738049)"
Амвросиевский муниципальный округ,"ул. Ленина, 2","(46.60888455926834, 39.30185059566951)"
Амвросиевский муниципальный округ,пгт. Кутейниково,"(48.66020384875966, 36.60097167365656)"
Амвросиевский муниципальный округ,"ул. Ленина, 19","(48.10041110153127, 36.24807985653782)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.10995161132934, 38.35960350539642)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 17","(46.50174582555891, 39.42582414670444)"
Амвросиевский муниципальный округ,с. Благодатное,"(46.214055873030496, 36.1846265792146)"
Амвросиевский муниципальный округ,"ул. Ленина, 21","(49.55861712357576, 38.588629161302435)"
Амвросиевский муниципальный округ,п. Лисичье,"(49.323056097202894, 37.86674400266728)"
Амвросиевский муниципальный округ,"ул. Ленинградская, 2/2, (2 )","(46.71035212522094, 36.19929637643608)"
Амвросиевский муниципальный округ,"ул. Ленинградская, 4/1","(47.52085144981181, 36.673541545772096)"
Амвросиевский муниципальный округ,с. Степано-Крынка,"(48.797175465746875, 38.24516826265926)"
Амвросиевский муниципальный округ,"ул. Первомайская, 1а","(46.87472708100032, 38.807477131765765)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.1752568891946, 39.34945906171063)"
Амвросиевский муниципальный округ,"ул. Интернациональная, 7а","(49.44846878459213, 39.01570593112237)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.06041824877175, 37.246696208961296)"
Амвросиевский муниципальный округ,"ул. Чернышевского, 109","(48.360422652528904, 38.586146578900504)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.92665354652446, 36.87870317531708)"
Амвросиевский муниципальный округ,"ул. Дружбы, б/н (2)","(47.964798336253125, 36.49025881990497)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.00866276226086, 38.29492132579982)"
Амвросиевский муниципальный округ,"ул. Калинина, б/н","(49.08305193715456, 36.7967705715155)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.04598199259771, 38.537254633970996)"
Амвросиевский муниципальный округ,"ул. Шевченко, 22","(47.78918743162443, 38.480501049180326)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.226965900584894, 37.337564474139405)"
Амвросиевский муниципальный округ,"ул. Шевченко, 22","(47.3132355932998, 38.295191382293304)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.453946953679775, 37.89936911944725)"
Амвросиевский муниципальный округ,"ул. Интернациональная, 2а","(47.274876534176904, 37.98809572991)"
Амвросиевский муниципальный округ,"ул. Интернациональная, 2","(48.723765589116866, 39.30482119320046)"
Амвросиевский муниципальный округ,"ул. Краснодонцев, б/н","(48.79293001442354, 38.65848296214622)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.92974220963983, 36.698267119726964)"
Амвросиевский муниципальный округ,"ул. Кутузова, 37б","(49.77279051416356, 38.232882111512346)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.78035668021573, 39.304852768065444)"
Амвросиевский муниципальный округ,"ул. Павших Коммунаров, 2а","(46.46157599266461, 36.75753187956993)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(49.47677907971714, 37.851256870723354)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 17а","(46.69298699531636, 36.22398134872555)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.26234452062731, 36.16091307950617)"
Амвросиевский муниципальный округ,"ул. Павших Коммунаров, 2а","(48.23460524394012, 38.38488617957644)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.5736157702085, 36.82644847636243)"
Амвросиевский муниципальный округ,"ул. Войково, 27","(49.0521854089982, 36.317743139090545)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.43767954703253, 37.02401324366324)"
Амвросиевский муниципальный округ,"ул. Павших Коммунаров, 2а","(47.44742803787755, 39.11096386212405)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.8027801538067, 37.29907474383709)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 16","(47.49495430697567, 36.159208396034416)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.952796785412964, 38.06692693970791)"
Амвросиевский муниципальный округ,"ул. Фрунзе, 19а","(47.033103293009766, 36.93317994688501)"
Амвросиевский муниципальный округ,с. Василевка,"(46.23630453794983, 38.05282874108621)"
Амвросиевский муниципальный округ,"ул. Ленина, б/н","(46.88217376134417, 36.79634489229307)"
Амвросиевский муниципальный округ,п. Нижнекрынское,"(48.69483500045513, 38.47183098305108)"
Амвросиевский муниципальный округ,ул. Ленина,"(48.861631282597884, 36.33285028572074)"
Амвросиевский муниципальный округ,п. Клёновка,"(47.85905189784506, 36.75194876196172)"
Амвросиевский муниципальный округ,"ул. Ленина, 8","(47.68829869510301, 36.157149220721564)"
Амвросиевский муниципальный округ,с. Василевка,"(47.48383480830277, 37.2023131802555)"
Амвросиевский муниципальный округ,"ул. Петровского, 29","(49.77970229904989, 37.26736326563317)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(47.8076758732697, 37.30047802023153)"
Амвросиевский муниципальный округ,"ул. Павших Коммунаров, 2а","(48.02043699427836, 38.45356321161773)"
Амвросиевский муниципальный округ,с. Белояровка,"(48.535939608828365, 36.46795645064626)"
Амвросиевский муниципальный округ,"ул. Мичурина, 43","(48.618004735327666, 38.128881088757865)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.45806448784076, 38.90775714143387)"
Амвросиевский муниципальный округ,"ул. Краснодонцев, 4а","(49.770902661046804, 36.36142027431846)"
Амвросиевский муниципальный округ,с. Великое Мешково,"(48.978486541847914, 37.531192739890514)"
Амвросиевский муниципальный округ,"ул. Мичурина, б/н","(47.12856918413769, 36.85266724227312)"
Амвросиевский муниципальный округ,с. Новоивановка,"(46.29027060608076, 39.27098663966572)"
Амвросиевский муниципальный округ,"ул. Советская, 56","(49.43114007905038, 38.71096226373043)"
Амвросиевский муниципальный округ,с. Белояровка,"(47.83422698967042, 36.43031989833013)"
Амвросиевский муниципальный округ,"ул. Ленина, 19а, Мира, 3","(47.611361049772036, 36.10519640271166)"
Амвросиевский муниципальный округ,п. Грабское,"(48.549227972145, 38.575574862566576)"
Амвросиевский муниципальный округ,"ул. Центральная, б/н","(49.24201749507475, 38.591732914680776)"
Амвросиевский муниципальный округ,с. Алексеевское,"(46.639639463887015, 38.77927163655825)"
Амвросиевский муниципальный округ,"ул. Ленина, 29а","(47.7017506716941, 38.44973967962901)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(46.601011244402386, 37.595932104145646)"
Амвросиевский муниципальный округ,"ул. Павших Коммунаров, 2а","(48.81156806104208, 36.0824889780584)"
Амвросиевский муниципальный округ,с. Белояровка,"(49.35835195974424, 36.83517158482005)"
Амвросиевский муниципальный округ,"ул. Мичурина, 2а","(47.41088586824382, 36.98443325862594)"
Амвросиевский муниципальный округ,г. Амвросиевка,"(48.641829983824906, 37.00296200796153)"
Амвросиевский муниципальный округ,"ул. Павших Коммунаров, 2а","(46.701272914609724, 37.945608676417976)"
Амвросиевский муниципальный округ,п. Ульяновское,"(46.772881995765346, 37.50769903486668)"
Амвросиевский муниципальный округ,"ул. Ленина, б/н","(47.191056450928805, 39.3740318993396)"
Амвросиевский муниципальный округ,п. Ульяновское,"(48.19105225744616, 36.58021520617307)"
Амвросиевский муниципальный округ,"ул. Ленина, 68а","(48.46850546392766, 38.26291868979352)"
"Волновахский район, г. Волноваха",г.Волноваха,"(49.69644035622475, 36.153464470339394)"
"Волновахский район, г. Волноваха","ул. Ленина,64-66","(46.70545639666637, 37.83304784993647)"
"Волновахский район, г. Волноваха",г.Волноваха,"(48.74862278740227, 36.485883671890086)"
"Волновахский район, г. Волноваха","ул. Ленина,58-62","(49.699058702301826, 36.7336986393933)"
"Волновахский район, г. Волноваха",г.Волноваха,"(46.98420987955136, 36.900130063556155)"
"Волновахский район, г. Волноваха","ул. Ленина,58-62","(49.51333546414183, 36.48836386140866)"
"Волновахский район, г. Волноваха",г.Волноваха,"(47.245507215916575, 37.02497921069084)"
"Волновахский район, г. Волноваха","ул. Ленина,58-62","(47.71191604147807, 39.02825041187897)"
"Волновахский район, г. Волноваха",г.Волноваха,"(48.84042040169485, 37.011679372264695)"
"Волновахский район, г. Волноваха","ул. Гагарина,2","(48.992263122510735, 39.536140823490186)"
"Волновахский район, г. Волноваха",г.Волноваха,"(49.379181587275845, 39.33508694428118)"
"Волновахский район, г. Волноваха","ул. Ленина,162","(48.2490718958161, 36.32374765031557)"
"Волновахский район, г. Волноваха",г.Волноваха,"(48.24176177824885, 36.292559286182936)"
"Волновахский район, г. Волноваха","ул. Ленина,147","(47.639115395016255, 39.5993408418085)"
"Волновахский район, г. Волноваха",г.Волноваха,"(47.87439775066467, 39.11387410959843)"
"Волновахский район, г. Волноваха","ул.Вл.Жоги,52","(49.37953879499999, 38.67642063016715)"
"Волновахский район, г. Волноваха",", город Волноваха, улица Донецкая, д. 274","(49.37619440563438, 38.54827367806003)"
"Волновахский район, с.Ровнополь",с.Ровнополь,"(48.5766442838892, 38.61048299354918)"
"Волновахский район, с.Ровнополь","ул.Садовая,34","(46.652597869124314, 36.77858130654761)"
"Волновахский район, с.Ровнополь",с.Ровнополь,"(47.82325613092265, 36.40703547145577)"
"Волновахский район, с.Ровнополь","ул.Садовая,55а","(48.050891944894815, 37.62375820725295)"
"Волновахский район, с.Кирилловка",с.Кирилловка,"(48.35916723195295, 36.033763800634794)"
"Волновахский район, с.Новоандреевка",с.Новоандреевка,"(49.1108062468442, 39.584923512978854)"
"пгт Володарское,  Володарский район",пгт.Володарское,"(47.30619422731749, 38.33529680758895)"
"пгт Володарское,  Володарский район","ул.Ленина,15","(48.64658573101488, 36.14622724711875)"
"пгт Володарское,  Володарский район",ПГТ.Володарское,"(48.31403529448796, 37.7588449317986)"
"пгт Володарское,  Володарский район","ул.Ленина,79","(48.744885951908245, 37.97260890131222)"
"с. Старченково, Володарский район",с.Старченково,"(48.11390268709022, 36.341838384008184)"
"с. Старченково, Володарский район","ул. Школьная,26","(47.02545595840093, 39.46729130361686)"
"с.Екатериновка, Володарский район",с.Екатериновка,"(49.70056941212615, 37.36459413507435)"
"с.Екатериновка, Володарский район","ул.Ленина,46","(49.50726220727678, 39.43262582329808)"
"с.Малоянисоль, Володарский район",с.Малоянисоль,"(48.91859905337266, 37.64490116349548)"
"с.Малоянисоль, Володарский район","ул.Греческая, 8","(47.238527974020975, 38.76299214643083)"
"с.Малоянисоль, Володарский район",с.Малоянисоль,"(47.355535775086324, 38.324193556140635)"
"с.Малоянисоль, Володарский район","ул.Греческая, 8","(46.3224231739666, 36.028241300667766)"
"пгт Володарское,  Володарский район",пгт.Володарское,"(48.028437017683885, 37.420150517091294)"
"пгт Володарское,  Володарский район","ул.Ленина, 85","(49.47516464349374, 36.277237008235446)"
"с. Старченково, Володарский район",с.Старченково,"(46.76509777142968, 36.1976177911856)"
"с. Старченково, Володарский район","ул. Калинина, 27 в","(46.748159536111466, 38.43394910075861)"
"с. Старченково, Володарский район",с.Старченково,"(49.04396773243687, 38.386837635509806)"
"с. Старченково, Володарский район","ул. Калинина, 27 в","(47.95821322746773, 38.24628243882962)"
"пгт Володарское,  Володарский район ",пгт.Володарское,"(49.497567932839125, 38.45032998052304)"
"пгт Володарское,  Володарский район ","ул.Ленина,22","(48.585181633316644, 38.83273203075735)"
"п.Малиновка, Володарский район",с.Малиновка,"(47.91192027993955, 36.886674015681926)"
"п.Малиновка, Володарский район","ул.Ленина, 6","(46.44831762940059, 39.301057730465374)"
"пгт Володарское,  Володарский район",пгт.Володарское,"(48.87132096812679, 38.4648445048475)"
"пгт Володарское,  Володарский район","ул.Ленина, 22","(46.98291609115355, 39.448909694522676)"
"пгт Володарское,  Володарский район",пгт.Володарское,"(48.469377834010466, 38.42741541410745)"
"пгт Володарское,  Володарский район","ул.Володарского, 127, пгт.Володарское","(47.5763284820028, 37.781479153784396)"
"пгт Володарское,  Володарский район","ул.Аэродромная,5","(48.70341703072977, 36.17193282414429)"
"пгт Володарское,  Володарский район",пгт.Володарское,"(47.51968075120332, 36.41752540240956)"
"пгт Володарское,  Володарский район","ул.Ленина, 114","(48.789481291123806, 37.07890739225659)"
"пгт Володарское,  Володарский район",пгт.Володарское,"(47.45458277590236, 39.18491852679424)"
"пгт Володарское,  Володарский район","ул.Ленина, 79 а","(48.17791376409525, 38.31175246930632)"
"с.Тополинное,  Володарский район",с.Тополиное,"(48.86744852872771, 36.91938977774855)"
"с.Тополинное,  Володарский район","ул.Комсомольская,8","(49.420780790260956, 36.755459272413255)"
"пгт Володарское,  Володарский район",пгт.Володарское,"(49.71007326641294, 37.232040782917885)"
"пгт Володарское,  Володарский район","ул.Ленина, 40 а","(49.09775751893414, 38.7460546175789)"
"пгт Володарское,  Володарский район",пгт.Володарское,"(48.25883637335067, 37.21356812590056)"
"пгт Володарское,  Володарский район","ул.Ленина, 85в","(49.251756070731304, 37.630991633679315)"
,,"(47.75047488257847, 37.209429492445004)"
